    0.488175974125217016E+00    0.780863990123169174E+02    0.817572184577763394E+01    0.182388201096285130E+02    0.175071181252687325E+04   -0.119720214045568810E+03   -0.674996497499986390E+02    0.462546991839576549E+02    0.157981955274600523E+03   -0.151339304885042347E+01    0.267745768588509975E+03
    0.666479200695646701E+00    0.784220319410532340E+02    0.532862038443845520E+01    0.186169096013915123E+02    0.175084001459857632E+04   -0.118884602727830270E+03   -0.681488936660031186E+02    0.334598772108520279E+02    0.138479602211887595E+03   -0.154492507521637856E+01    0.270043459776316524E+03
    0.516674984721370079E+00    0.779644470474890170E+02    0.983711916844985268E+01    0.185585504869556956E+02    0.175072971816677500E+04   -0.119603583604084406E+03   -0.674139088308901364E+02    0.461877657622103470E+02    0.158974191135946739E+03   -0.158459859923628077E+01    0.271746879749827428E+03
    0.667523196599968727E+00    0.783204077697243690E+02    0.553449835065007267E+01    0.191400032042302257E+02    0.175085902095270194E+04   -0.118850562983961026E+03   -0.683261282047986924E+02    0.327406933260811002E+02    0.137707955440440401E+03   -0.156910401685437106E+01    0.272290782584592080E+03
    0.553536087018565603E+00    0.783607106711126278E+02    0.893354689553034476E+01    0.184597697296112422E+02    0.175074903164449370E+04   -0.119294097725965685E+03   -0.671091055028126675E+02    0.399927469571907750E+02    0.144550996717131284E+03   -0.154878373721233542E+01    0.272422587378334583E+03
    0.657174617594427302E+00    0.785353560550391876E+02    0.536962761825441870E+01    0.185879981742100853E+02    0.175083961156868872E+04   -0.118804548336818925E+03   -0.680718270896273907E+02    0.328867478722538635E+02    0.137681625957608730E+03   -0.152738630828113386E+01    0.272571300628603581E+03
    0.662810863270602457E+00    0.785120362292620229E+02    0.559379057029917792E+01    0.188104622478826045E+02    0.175084891567424029E+04   -0.118770646116767239E+03   -0.679516499450999163E+02    0.316615325749512522E+02    0.133174745251211107E+03   -0.151222273465349621E+01    0.272726520924015290E+03
    0.510682302077400507E+00    0.782835079728190948E+02    0.818146517974130028E+01    0.183067709362155426E+02    0.175072729808712393E+04   -0.119540954164260484E+03   -0.672385356879764231E+02    0.442434907754234246E+02    0.153771749884441761E+03   -0.150874069404211220E+01    0.273221650821172375E+03
    0.698192945804244514E+00    0.783307244008333470E+02    0.559999613867833457E+01    0.193164063016747676E+02    0.175089312983030482E+04   -0.118738570684240813E+03   -0.689401436112680130E+02    0.326673271143617967E+02    0.142275946677064439E+03   -0.161170948005164760E+01    0.273310305023357500E+03
    0.580568296131054318E+00    0.779252664294164106E+02    0.682592702588792299E+01    0.185832805009213828E+02    0.175079256354497056E+04   -0.119258444010858057E+03   -0.680569454808264709E+02    0.388799156172440235E+02    0.147608544443814935E+03   -0.158767679527679562E+01    0.273332767819108028E+03
    0.553821434430459281E+00    0.783003340804916235E+02    0.741564418012539051E+01    0.184976909128619020E+02    0.175076463201491833E+04   -0.119468751092958655E+03   -0.678165353364798875E+02    0.439501479786258642E+02    0.156806975411387384E+03   -0.156123246953762074E+01    0.273411589688688878E+03
    0.632289443827725672E+00    0.782001417201951483E+02    0.589670205850400464E+01    0.190977377060881324E+02    0.175082348842925921E+04   -0.119156465893463292E+03   -0.682678927756907115E+02    0.387620280446994911E+02    0.148744235666810255E+03   -0.162412344531993913E+01    0.273439785749539283E+03
    0.586887578095514839E+00    0.780333476912740593E+02    0.605277434363279365E+01    0.182973754195926794E+02    0.175078751417580452E+04   -0.119406973106412352E+03   -0.681874596176745627E+02    0.418744322862855824E+02    0.153870742573539474E+03   -0.152113139484725934E+01    0.273455306186320229E+03
    0.617426472508847524E+00    0.785869476948725634E+02    0.643428985775355322E+01    0.189338642485488293E+02    0.175082035048601892E+04   -0.118856626538470664E+03   -0.674941534622597601E+02    0.335999978686922987E+02    0.135086394623606793E+03   -0.166273666502149364E+01    0.273532844469554675E+03
    0.615651246803593732E+00    0.782168107220013269E+02    0.630863067845169034E+01    0.188243887551783047E+02    0.175082733726776723E+04   -0.119063030921921609E+03   -0.681914378147162097E+02    0.369744548876719819E+02    0.144978236538079727E+03   -0.168689989129896123E+01    0.273560103771270747E+03
    0.524504522610994450E+00    0.781242699847796018E+02    0.852298366212556502E+01    0.183128405656300401E+02    0.175072510156089697E+04   -0.119545807822230699E+03   -0.672394952657982685E+02    0.446284050177434892E+02    0.155077183662316429E+03   -0.163667298592350852E+01    0.273975484910112016E+03
    0.697891355001629909E+00    0.781439745353104769E+02    0.476174896466697462E+01    0.188806800253988527E+02    0.175089266324642358E+04   -0.118898574432002988E+03   -0.694938624887247443E+02    0.342023139079742577E+02    0.147463029160358701E+03   -0.157151341823539958E+01    0.274222339875855880E+03
    0.664232679753007926E+00    0.780206114016903882E+02    0.557363693088733836E+01    0.189321158411600337E+02    0.175086960303327260E+04   -0.118978082706461237E+03   -0.693307896422107888E+02    0.338102945761409046E+02    0.144848816162074854E+03   -0.157591098844689492E+01    0.274323474222503478E+03
