    0.176576220464706424E+02    0.980820250511169434E+02    0.638938486576080322E+01    0.168069228529930115E+02    0.278468179702758789E+04   -0.153003954887390137E+04    0.145696043968200684E+03   -0.819747447967529297E+02    0.661374211311340332E+03   -0.397738683223724365E+01   -0.168074492402098640E+17   -0.621460743175560815E+01    1
    0.787438558995723614E+01    0.626970720291137695E+02    0.122344577312469482E+02    0.298950394988059998E+02    0.287860894203186035E+04   -0.590959548950195312E+03   -0.242294073104858398E+02   -0.480324506759643555E+03   -0.254433512687683105E+03   -0.396434986591339111E+01   -0.132792186395585420E+17   -0.621660743175562036E+01    1
    0.546572466671466728E+01    0.759277367591857910E+02    0.368461084365844727E+01    0.221791565418243408E+02    0.289802670478820801E+04   -0.841602087020874023E+03   -0.162499189376831055E+03   -0.787207126617431641E+03    0.748391866683959961E+03   -0.385184031724929810E+01   -0.891116567869152700E+16   -0.621860743175561659E+01    1
    0.918608779013156784E+01    0.756881856918334961E+02    0.375508642196655273E+01    0.167805787920951843E+02    0.278176796436309814E+04   -0.924022197723388672E+03    0.481013059616088867E+02   -0.292736530303955078E+03    0.476462841033935547E+03   -0.387699317932128906E+01   -0.857189757869231700E+16   -0.622060743175561726E+01    1
    0.152879790705442407E+02    0.932814240455627441E+02    0.775630450248718262E+01    0.247358113527297974E+02    0.249959349632263184E+04   -0.199900197982788086E+04   -0.863193869590759277E+03   -0.980417370796203613E+03    0.228775739669799805E+02   -0.389862287044525146E+01   -0.800899583186866700E+16   -0.622260743175562059E+01    1
    0.694089546859264317E+01    0.887548089027404785E+02    0.805166339874267578E+01    0.613010138273239136E+01    0.253649854660034180E+04   -0.624069213867187500E+03    0.334654211997985840E+03    0.127457261085510254E+03   -0.629024863243103027E+03   -0.391127449274063110E+01   -0.565656263689602600E+16   -0.622460743175562392E+01    1
    0.327384825468063312E+01    0.834381866455078125E+02    0.773269832134246826E+01    0.329668679833412170E+02    0.252494144439697266E+04   -0.198274421691894531E+04   -0.597213268280029297E+03   -0.134217143058776855E+03   -0.511496305465698242E+03   -0.379887580871582031E+01   -0.522266763907586900E+16   -0.622660743175562637E+01    1
    0.233137543857097596E+01    0.828462457656860352E+02    0.136040251255035400E+02    0.180939015746116638E+02    0.282505047321319580E+04   -0.101912093162536621E+04   -0.111397743225097656E+03   -0.162693977355957031E+03    0.349425315856933594E+03   -0.371953713893890381E+01   -0.450303827321277250E+16   -0.622860743175561993E+01    1
    0.291302368938922829E+01    0.713971972465515137E+02    0.472488582134246826E+01    0.397367826104164124E+02    0.294936788082122803E+04   -0.151391959190368652E+04   -0.782739758491516113E+03   -0.117069959640502930E+03    0.442724704742431641E+03   -0.364193367958068848E+01   -0.411870305286623750E+16   -0.623060743175562592E+01    1
    0.152414403951168040E+02    0.892190027236938477E+02    0.104126127958297729E+02    0.356077682971954346E+02    0.263138306140899658E+04    0.868752717971801758E+03    0.475805878639221191E+03    0.235758304595947266E+03    0.770729422569274902E+03   -0.392654573917388916E+01   -0.406718961864722850E+16   -0.623260743175562393E+01    1
    0.822011508166789895E+01    0.924457812309265137E+02    0.971522033214569092E+01    0.570049375295639038E+01    0.239936995506286621E+04   -0.182580900192260742E+04    0.254132747650146484E+02    0.705245137214660645E+03   -0.206518173217773438E+01   -0.379391711950302124E+01   -0.401617950711324650E+16   -0.623460743175562015E+01    1
    0.578671944141387895E-01    0.967611074447631836E+02    0.283621942996978760E+01    0.352613213658332825E+02    0.293401622772216797E+04    0.163190484046936035E+04    0.408706545829772949E+03   -0.236784934997558594E+03    0.569536924362182617E+03   -0.381685519218444824E+01   -0.390183609530069550E+16   -0.623660743175563059E+01    1
    0.173036652690172197E+02    0.604199051856994629E+02    0.101669054031372070E+02    0.318597498536109924E+02    0.126788234710693359E+04    0.135347819328308105E+04   -0.590581536293029785E+03   -0.302162170410156250E+03   -0.452255010604858398E+02   -0.386141902208328247E+01   -0.382845851170686750E+16   -0.623860743175560994E+01    1
    0.154428402990102747E+02    0.931084489822387695E+02    0.107698239088058472E+02    0.254734763503074646E+02    0.118047523498535156E+04    0.328057050704956055E+03    0.138625621795654297E+03    0.673609614372253418E+03    0.110777616500854492E+03   -0.394657933712005615E+01   -0.353864305404183500E+16   -0.624060743175563370E+01    1
    0.321629419088363599E+01    0.851427054405212402E+02    0.138098418712615967E+01    0.228325864672660828E+02    0.265902256965637207E+04    0.403147459030151367E+03    0.549610972404479980E+03   -0.400784611701965332E+03    0.193897008895874023E+03   -0.381503683328628540E+01   -0.328237452176615350E+16   -0.624260743175562371E+01    1
    0.103994748193025579E+02    0.681975650787353516E+02    0.879867148399353027E+01    0.261438104510307312E+02    0.286270129680633545E+04   -0.739631175994873047E+03    0.147717356681823730E+03   -0.228338241577148438E+02    0.464357376098632812E+03   -0.364615833759307861E+01   -0.317007599800998300E+16   -0.624460743175562172E+01    1
    0.182460963827371607E+02    0.611295628547668457E+02    0.832331097126007080E+01    0.265943339467048645E+02    0.101485860347747803E+04   -0.131253623962402344E+04    0.586232542991638184E+03   -0.692873358726501465E+03    0.695200324058532715E+03   -0.399670714139938354E+01   -0.280105341897267050E+16   -0.624660743175562594E+01    1
    0.139798540294170359E+01    0.930622577667236328E+02    0.158586287498474121E+01    0.319414982199668884E+02    0.218719935417175293E+04   -0.164506244659423828E+04    0.123518943786621094E+03    0.501912355422973633E+03   -0.978770017623901367E+03   -0.383261263370513916E+01   -0.277121948092161850E+16   -0.624860743175560795E+01    1
    0.442602451622486015E+01    0.950910639762878418E+02    0.527511620521545410E+01    0.105030068755149841E+02    0.162435305118560791E+04    0.159577441215515137E+04   -0.932352542877197266E+02   -0.581089496612548828E+03   -0.359311223030090332E+03   -0.399361634254455566E+01   -0.271246761440102650E+16   -0.625060743175560685E+01    1
    0.131283624356985076E+02    0.747948551177978516E+02    0.806289446353912354E+01    0.235068738460540771E+02    0.290573227405548096E+04   -0.233841419219970703E+03   -0.814113616943359375E+03    0.402635455131530762E+03    0.963336348533630371E+03   -0.363833737373352051E+01   -0.250100914877906450E+16   -0.625260743175563061E+01    1
    0.139557473796606057E+02    0.792369890213012695E+02    0.737426638603210449E+01    0.337425073981285095E+02    0.110949218273162842E+04    0.187627482414245605E+04   -0.852784037590026855E+03    0.431547880172729492E+03    0.641057252883911133E+03   -0.362767934799194336E+01   -0.238799579586365550E+16   -0.625460743175561085E+01    1
    0.104164274364709843E+02    0.858759832382202148E+02    0.282282960414886475E+01    0.263689011335372925E+02    0.229463338851928711E+04   -0.901429653167724609E+02   -0.184032917022705078E+02    0.869754552841186523E+03    0.775722622871398926E+03   -0.394873654842376709E+01   -0.230399574768139300E+16   -0.625660743175561418E+01    1
    0.141810284548997867E+02    0.779164886474609375E+02    0.136231018304824829E+02    0.185680133104324341E+02    0.108659923076629639E+04    0.923845767974853516E+02   -0.647206306457519531E+02   -0.250127315521240234E+03    0.276238918304443359E+03   -0.382284367084503174E+01   -0.226963675491824250E+16   -0.625860743175562817E+01    1
    0.806687667191028446E+01    0.908661174774169922E+02    0.855145871639251709E+01    0.286598435044288635E+02    0.293590736389160156E+04    0.452040433883666992E+03    0.669058918952941895E+03   -0.727160692214965820E+03    0.827173113822937012E+03   -0.360140603780746460E+01   -0.217017342108097450E+16   -0.626060743175563061E+01    1
    0.128794618844985942E+00    0.995815920829772949E+02    0.132428611516952515E+02    0.143709212541580200E+02    0.269198870658874512E+04   -0.439746618270874023E+03   -0.413983345031738281E+03   -0.914204120635986328E+02   -0.477741479873657227E+03   -0.366760760545730591E+01   -0.216664798125167675E+16   -0.626260743175562951E+01    1
    0.176386927360296255E+02    0.890334415435791016E+02    0.660858798027038574E+01    0.256252592802047729E+02    0.238661670684814453E+04    0.283464670181274414E+03   -0.492130994796752930E+03   -0.292512178421020508E+02    0.819094538688659668E+03   -0.391904503107070923E+01   -0.210981246471035200E+16   -0.626460743175562129E+01    1
    0.164181579172611229E+02    0.677043008804321289E+02    0.186817491054534912E+01    0.342168423533439636E+02    0.241166889667510986E+04   -0.715816020965576172E+03    0.484665870666503906E+03    0.591490983963012695E+03    0.237934470176696777E+03   -0.373915338516235352E+01   -0.199270123886243025E+16   -0.626660743175562995E+01    1
    0.147724139034748059E+01    0.943019843101501465E+02    0.680836308002471924E+01    0.307157441973686218E+02    0.111574566364288330E+04   -0.423160552978515625E+03    0.275315046310424805E+02    0.507516264915466309E+03    0.346121072769165039E+03   -0.387294179201126099E+01   -0.196841914504037250E+16   -0.626860743175560753E+01    1
    0.708120642304420400E+00    0.650619459152221680E+02    0.160956084728240967E+01    0.337298777699470520E+02    0.232055938243865967E+04   -0.106794762611389160E+04   -0.265997171401977539E+03    0.674932003021240234E+02   -0.309725642204284668E+03   -0.376277434825897217E+01   -0.194389539252464025E+16   -0.627060743175561619E+01    1
    0.738816193878650562E+01    0.873122835159301758E+02    0.142968606948852539E+01    0.254237067699432373E+02    0.285676276683807373E+04   -0.192724776268005371E+04    0.288099050521850586E+02   -0.400181412696838379E+03    0.901921987533569336E+02   -0.346004807949066162E+01   -0.192001881557685475E+16   -0.627260743175561597E+01    1
    0.136736283302307111E+02    0.804176497459411621E+02    0.973652005195617676E+01    0.174787715077400208E+02    0.242945492267608643E+04   -0.127072572708129883E+03    0.891161322593688965E+03   -0.805847644805908203E+02   -0.736399412155151367E+03   -0.376271623373031616E+01   -0.189048284381451975E+16   -0.627460743175561486E+01    1
    0.187824522638320914E+02    0.913017606735229492E+02    0.805398488044738770E+01    0.165688896179199219E+02    0.282372164726257324E+04   -0.350840091705322266E+03   -0.812414169311523438E+03    0.751129508018493652E+03    0.263576388359069824E+03   -0.360462397336959839E+01   -0.188918959485186450E+16   -0.627660743175563329E+01    1
    0.659219676673412280E+01    0.892284250259399414E+02    0.129985489845275879E+02    0.223881211876869202E+02    0.113710331916809082E+04   -0.728493928909301758E+03   -0.857284545898437500E+03   -0.349829196929931641E+02    0.879053711891174316E+03   -0.388498097658157349E+01   -0.185994728342925050E+16   -0.627860743175562153E+01    1
    0.171930490845441817E+02    0.704150247573852539E+02    0.188753867149353027E+01    0.126118919253349304E+02    0.102139961719512939E+04    0.147369575500488281E+04   -0.963490366935729980E+03    0.668381929397583008E+03    0.899571299552917480E+03   -0.355096924304962158E+01   -0.168798147016392200E+16   -0.628060743175562308E+01    1
    0.157306225329637517E+02    0.711656641960144043E+02    0.368476271629333496E+01    0.898736178874969482E+01    0.138086628913879395E+04    0.193090701103210449E+04   -0.132653355598449707E+03   -0.183107972145080566E+03   -0.610791206359863281E+03   -0.368032360076904297E+01   -0.164638346129665275E+16   -0.628260743175561398E+01    1
