logz logzerr logvol nlive logl logwt insert_order
-4.842453303366591761e+33 6.066940431181855970e+33 -1.299999999999998934e-01 3.000000000000000000e+02 -4.739996768341672744e+33 -4.739996768341672744e+33 7.466666666666667007e-01
-4.739996768341672744e+33 4.830784002892269567e+33 -1.333333333333332205e-01 3.000000000000000000e+02 -2.054592327527985196e+33 -2.054592327527985196e+33 6.266666666666667052e-01
-2.054592327527985196e+33 2.882303761517117440e+17 -1.366666666666665475e-01 3.000000000000000000e+02 -1.977707968267216956e+33 -1.977707968267216956e+33 1.993333333333333401e+00
-1.977707968267216956e+33 3.624363453364796623e+31 -1.399999999999998745e-01 3.000000000000000000e+02 -1.762864361899994513e+33 -1.762864361899994513e+33 1.899999999999999911e+00
-1.762864361899994513e+33 1.309390603982397414e+32 -1.433333333333332016e-01 3.000000000000000000e+02 -1.639692301500699371e+33 -1.639692301500699371e+33 3.133333333333333526e-01
-1.639692301500699371e+33 1.769356291421759365e+32 -1.466666666666665286e-01 3.000000000000000000e+02 -1.620884797807692220e+33 -1.620884797807692220e+33 1.446666666666666767e+00
-1.620884797807692220e+33 1.211145137044506560e+32 -1.499999999999998557e-01 3.000000000000000000e+02 -2.448420729607868560e+32 -2.448420729607868560e+32 1.753333333333333410e+00
-2.448420729607868560e+32 7.008523997580824251e+32 -1.533333333333331827e-01 3.000000000000000000e+02 -2.266096253021531921e+32 -2.266096253021531921e+32 1.013333333333333419e+00
-2.266096253021531921e+32 6.002813013044031939e+32 -1.566666666666665098e-01 3.000000000000000000e+02 -2.237416735860624247e+32 -2.237416735860624247e+32 1.986666666666666581e+00
-2.237416735860624247e+32 3.855184967450687911e+32 -1.599999999999998368e-01 3.000000000000000000e+02 -1.997176081766717090e+32 -1.997176081766717090e+32 1.346666666666666679e+00
-1.997176081766717090e+32 3.892720648719559095e+32 -1.633333333333331638e-01 3.000000000000000000e+02 -9.734048845947842367e+31 -9.734048845947842367e+31 1.753333333333333410e+00
-9.734048845947842367e+31 4.127479453639201076e+32 -1.666666666666664909e-01 3.000000000000000000e+02 -8.633656331273255307e+31 -8.633656331273255307e+31 1.666666666666666741e+00
-8.633656331273255307e+31 4.200921755167714743e+32 -1.699999999999998179e-01 3.000000000000000000e+02 -5.447773432706887195e+31 -5.447773432706887195e+31 2.600000000000000089e-01
-5.447773432706887195e+31 4.297581537895256254e+32 -1.733333333333331450e-01 3.000000000000000000e+02 -4.926085833779790377e+31 -4.926085833779790377e+31 1.726666666666666572e+00
-4.926085833779790377e+31 1.575661463801888043e+31 -1.766666666666664720e-01 3.000000000000000000e+02 -4.331202436194970741e+31 -4.331202436194970741e+31 8.666666666666666963e-02
-4.331202436194970741e+31 1.644170853167217351e+30 -1.799999999999997990e-01 3.000000000000000000e+02 -2.405092821558160185e+31 -2.405092821558160185e+31 9.333333333333333481e-01
-2.405092821558160185e+31 9.305187952577076884e+30 -1.833333333333331261e-01 3.000000000000000000e+02 -2.397305423114129036e+31 -2.397305423114129036e+31 9.666666666666666741e-01
-2.397305423114129036e+31 8.395347917132638740e+30 -1.866666666666664531e-01 3.000000000000000000e+02 -1.859206491706675912e+31 -1.859206491706675912e+31 8.266666666666666607e-01
-1.859206491706675912e+31 8.443155886242324385e+30 -1.899999999999997802e-01 3.000000000000000000e+02 -1.785960809680634419e+31 -1.785960809680634419e+31 1.620000000000000107e+00
-1.785960809680634419e+31 3.171631067603458976e+29 -1.933333333333331072e-01 3.000000000000000000e+02 -1.160708601399951174e+31 -1.160708601399951174e+31 1.306666666666666643e+00
-1.160708601399951174e+31 2.330177401329107565e+30 -1.966666666666664343e-01 3.000000000000000000e+02 -9.826965540363409199e+30 -9.826965540363409199e+30 1.459999999999999964e+00
-9.826965540363409199e+30 2.199694997606724420e+30 -1.999999999999997613e-01 3.000000000000000000e+02 -5.624592848435598642e+30 -5.624592848435598642e+30 1.120000000000000107e+00
-5.624592848435598642e+30 2.235550442276746512e+30 -2.033333333333330883e-01 3.000000000000000000e+02 -4.247333525399397966e+30 -4.247333525399397966e+30 5.933333333333333792e-01
-4.247333525399397966e+30 2.571740639844265330e+30 -2.066666666666664154e-01 3.000000000000000000e+02 -1.896095392623113569e+30 -1.896095392623113569e+30 1.566666666666666652e+00
-1.896095392623113569e+30 3.234076161365484806e+30 -2.099999999999997424e-01 3.000000000000000000e+02 -1.059791199907364632e+30 -1.059791199907364632e+30 1.653333333333333321e+00
-1.059791199907364632e+30 8.923053933164104544e+29 -2.133333333333330695e-01 3.000000000000000000e+02 -9.093427539035887880e+29 -9.093427539035887880e+29 3.533333333333333326e-01
-9.093427539035887880e+29 2.709212878204318756e+29 -2.166666666666663965e-01 3.000000000000000000e+02 -8.816823682182558211e+29 -8.816823682182558211e+29 1.500000000000000000e+00
-8.816823682182558211e+29 2.797775602078653291e+29 -2.199999999999997236e-01 3.000000000000000000e+02 -8.127414086373857643e+29 -8.127414086373857643e+29 7.733333333333333171e-01
-8.127414086373857643e+29 3.642137573072199596e+28 -2.233333333333330506e-01 3.000000000000000000e+02 -1.367954030712010428e+29 -1.367954030712010428e+29 1.286666666666666625e+00
-1.367954030712010428e+29 3.405091329732327708e+29 -2.266666666666663776e-01 3.000000000000000000e+02 -4.779517119181891149e+28 -4.779517119181891149e+28 1.000000000000000056e-01
-4.779517119181891149e+28 2.747099728742040386e+29 -2.299999999999997047e-01 3.000000000000000000e+02 -4.457474440386346501e+28 -4.457474440386346501e+28 1.600000000000000089e+00
-4.457474440386346501e+28 2.528301341161717114e+28 -2.333333333333330317e-01 3.000000000000000000e+02 -4.404982071902466828e+28 -4.404982071902466828e+28 9.066666666666666208e-01
-4.404982071902466828e+28 2.551991130174115432e+28 -2.366666666666663588e-01 3.000000000000000000e+02 -4.396403316235766097e+28 -4.396403316235766097e+28 1.600000000000000089e+00
-4.396403316235766097e+28 1.045240687393094506e+27 -2.399999999999996858e-01 3.000000000000000000e+02 -2.801058247303671299e+28 -2.801058247303671299e+28 1.873333333333333295e+00
-2.801058247303671299e+28 7.583299944592673703e+27 -2.433333333333330128e-01 3.000000000000000000e+02 -2.157455933386151952e+28 -2.157455933386151952e+28 1.466666666666666563e+00
-2.157455933386151952e+28 9.248606935610418183e+27 -2.466666666666663399e-01 3.000000000000000000e+02 -1.636122775054304034e+28 -1.636122775054304034e+28 1.520000000000000018e+00
-1.636122775054304034e+28 8.038006245081144235e+27 -2.499999999999996669e-01 3.000000000000000000e+02 -1.097205259582383287e+28 -1.097205259582383287e+28 1.386666666666666714e+00
-1.097205259582383287e+28 4.808307739460822512e+27 -2.533333333333330217e-01 3.000000000000000000e+02 -6.827262831872469337e+27 -6.827262831872469337e+27 1.600000000000000089e+00
-6.827262831872469337e+27 5.929684144311894878e+27 -2.566666666666663765e-01 3.000000000000000000e+02 -5.525544365659528708e+27 -5.525544365659528708e+27 4.533333333333333104e-01
-5.525544365659528708e+27 2.234629834005099662e+27 -2.599999999999997313e-01 3.000000000000000000e+02 -5.261927721755510787e+27 -5.261927721755510787e+27 1.226666666666666572e+00
-5.261927721755510787e+27 1.567972695270864341e+27 -2.633333333333330861e-01 3.000000000000000000e+02 -3.748659572881953121e+27 -3.748659572881953121e+27 1.840000000000000080e+00
-3.748659572881953121e+27 5.639617415110911211e+26 -2.666666666666664409e-01 3.000000000000000000e+02 -2.950437938879136694e+27 -2.950437938879136694e+27 1.820000000000000062e+00
-2.950437938879136694e+27 3.935285726130669933e+26 -2.699999999999997957e-01 3.000000000000000000e+02 -1.917727457475864717e+27 -1.917727457475864717e+27 8.066666666666666430e-01
-1.917727457475864717e+27 7.868378187547650222e+26 -2.733333333333331505e-01 3.000000000000000000e+02 -1.617787811454075605e+27 -1.617787811454075605e+27 2.866666666666666807e-01
-1.617787811454075605e+27 7.708748483182387852e+26 -2.766666666666665053e-01 3.000000000000000000e+02 -1.316216303946622171e+27 -1.316216303946622171e+27 6.733333333333333393e-01
-1.316216303946622171e+27 1.926984131806188075e+26 -2.799999999999998601e-01 3.000000000000000000e+02 -9.925472855953178066e+26 -9.925472855953178066e+26 1.919999999999999929e+00
-9.925472855953178066e+26 2.347124537748279076e+26 -2.833333333333332149e-01 3.000000000000000000e+02 -9.805646718573583542e+26 -9.805646718573583542e+26 8.800000000000000044e-01
-9.805646718573583542e+26 9.200796455873694580e+25 -2.866666666666665697e-01 3.000000000000000000e+02 -5.543886192151362451e+26 -5.543886192151362451e+26 1.993333333333333401e+00
-5.543886192151362451e+26 2.151222122881162463e+26 -2.899999999999999245e-01 3.000000000000000000e+02 -2.495036177018266538e+26 -2.495036177018266538e+26 8.199999999999999512e-01
-2.495036177018266538e+26 2.215850752382546188e+26 -2.933333333333332793e-01 3.000000000000000000e+02 -2.416885364883048248e+26 -2.416885364883048248e+26 1.246666666666666590e+00
-2.416885364883048248e+26 2.032669162335445378e+26 -2.966666666666666341e-01 3.000000000000000000e+02 -1.097161445395750992e+26 -1.097161445395750992e+26 1.600000000000000089e+00
-1.097161445395750992e+26 6.742030866730543621e+25 -2.999999999999999889e-01 3.000000000000000000e+02 -7.762136459571132626e+25 -7.762136459571132626e+25 1.473333333333333384e+00
-7.762136459571132626e+25 4.711772210330532194e+25 -3.033333333333333437e-01 3.000000000000000000e+02 -7.515292392479057631e+25 -7.515292392479057631e+25 9.133333333333333304e-01
-7.515292392479057631e+25 4.807258510999415405e+25 -3.066666666666666985e-01 3.000000000000000000e+02 -6.870404780725796370e+25 -6.870404780725796370e+25 1.419999999999999929e+00
-6.870404780725796370e+25 4.904961435002065801e+25 -3.100000000000000533e-01 3.000000000000000000e+02 -5.927670978235372468e+25 -5.927670978235372468e+25 1.266666666666666607e+00
-5.927670978235372468e+25 5.066344156535707486e+25 -3.133333333333334081e-01 3.000000000000000000e+02 -4.363879519097724256e+25 -4.363879519097724256e+25 6.133333333333332860e-01
-4.363879519097724256e+25 1.234661698108548855e+25 -3.166666666666667629e-01 3.000000000000000000e+02 -3.479257738370950742e+25 -3.479257738370950742e+25 1.553333333333333233e+00
-3.479257738370950742e+25 1.397374063161753111e+25 -3.200000000000001177e-01 3.000000000000000000e+02 -2.602917301126969487e+25 -2.602917301126969487e+25 7.466666666666667007e-01
-2.602917301126969487e+25 1.426361912944338754e+25 -3.233333333333334725e-01 3.000000000000000000e+02 -1.803353270562821562e+25 -1.803353270562821562e+25 1.126666666666666705e+00
-1.803353270562821562e+25 8.109056752271772795e+24 -3.266666666666668273e-01 3.000000000000000000e+02 -5.122342651422033660e+24 -5.122342651422033660e+24 7.399999999999999911e-01
-5.122342651422033660e+24 7.427047749860368654e+24 -3.300000000000001821e-01 3.000000000000000000e+02 -4.694633658956521593e+24 -4.694633658956521593e+24 1.093333333333333268e+00
-4.694633658956521593e+24 1.182125206224206918e+23 -3.333333333333335369e-01 3.000000000000000000e+02 -4.430438418845100214e+24 -4.430438418845100214e+24 1.586666666666666670e+00
-4.430438418845100214e+24 1.302500099011940650e+23 -3.366666666666668917e-01 3.000000000000000000e+02 -4.282122436533380580e+24 -4.282122436533380580e+24 1.993333333333333401e+00
-4.282122436533380580e+24 1.203665904244858877e+23 -3.400000000000002465e-01 3.000000000000000000e+02 -4.277259794154966967e+24 -4.277259794154966967e+24 1.926666666666666750e+00
-4.277259794154966967e+24 1.210278929461200783e+23 -3.433333333333336013e-01 3.000000000000000000e+02 -3.849931597953099025e+24 -3.849931597953099025e+24 1.060000000000000053e+00
-3.849931597953099025e+24 2.987342707658849717e+23 -3.466666666666669561e-01 3.000000000000000000e+02 -3.715350777845149621e+24 -3.715350777845149621e+24 1.733333333333333393e-01
-3.715350777845149621e+24 3.533063955782071799e+23 -3.500000000000003109e-01 3.000000000000000000e+02 -3.236848179466785358e+24 -3.236848179466785358e+24 1.953333333333333366e+00
-3.236848179466785358e+24 2.071977029862630097e+23 -3.533333333333336657e-01 3.000000000000000000e+02 -2.456355644674432507e+24 -2.456355644674432507e+24 5.000000000000000000e-01
-2.456355644674432507e+24 3.679277093447666846e+23 -3.566666666666670205e-01 3.000000000000000000e+02 -2.370779309962397378e+24 -2.370779309962397378e+24 7.533333333333332993e-01
-2.370779309962397378e+24 2.383851131796938188e+23 -3.600000000000003753e-01 3.000000000000000000e+02 -2.163429429998385464e+24 -2.163429429998385464e+24 2.200000000000000011e-01
-2.163429429998385464e+24 8.096052877829544608e+22 -3.633333333333337301e-01 3.000000000000000000e+02 -2.156847404433448760e+24 -2.156847404433448760e+24 5.666666666666666519e-01
-2.156847404433448760e+24 0.000000000000000000e+00 -3.666666666666670849e-01 3.000000000000000000e+02 -1.845377598034200538e+24 -1.845377598034200538e+24 4.199999999999999845e-01
-1.845377598034200538e+24 1.535566853903786380e+23 -3.700000000000004396e-01 3.000000000000000000e+02 -1.592868822609130928e+24 -1.592868822609130928e+24 1.306666666666666643e+00
-1.592868822609130928e+24 2.600799833443890239e+23 -3.733333333333337944e-01 3.000000000000000000e+02 -1.265619070085371842e+24 -1.265619070085371842e+24 4.000000000000000083e-02
-1.265619070085371842e+24 1.219587820438514618e+23 -3.766666666666671492e-01 3.000000000000000000e+02 -7.644643437002170963e+23 -7.644643437002170963e+23 1.906666666666666732e+00
-7.644643437002170963e+23 2.170063621380917774e+23 -3.800000000000005040e-01 3.000000000000000000e+02 -7.023688762561511492e+23 -7.023688762561511492e+23 8.666666666666666963e-01
-7.023688762561511492e+23 1.508070970804474688e+23 -3.833333333333338588e-01 3.000000000000000000e+02 -6.813247369198454136e+23 -6.813247369198454136e+23 3.066666666666666430e-01
-6.813247369198454136e+23 1.578773652852659108e+23 -3.866666666666672136e-01 3.000000000000000000e+02 -6.620810030494984459e+23 -6.620810030494984459e+23 8.733333333333332948e-01
-6.620810030494984459e+23 1.269327803840751836e+22 -3.900000000000005684e-01 3.000000000000000000e+02 -6.280827173165011315e+23 -6.280827173165011315e+23 7.466666666666667007e-01
-6.280827173165011315e+23 2.636688280544284456e+22 -3.933333333333339232e-01 3.000000000000000000e+02 -4.552352417909137641e+23 -4.552352417909137641e+23 1.313333333333333242e+00
-4.552352417909137641e+23 8.347862583603262757e+22 -3.966666666666672780e-01 3.000000000000000000e+02 -3.837952640745681212e+23 -3.837952640745681212e+23 1.366666666666666696e+00
-3.837952640745681212e+23 9.972462203975015753e+22 -4.000000000000006328e-01 3.000000000000000000e+02 -3.533779851544409733e+23 -3.533779851544409733e+23 1.959999999999999964e+00
-3.533779851544409733e+23 7.935231818272348727e+22 -4.033333333333339876e-01 3.000000000000000000e+02 -3.471419095148852129e+23 -3.471419095148852129e+23 1.066666666666666735e-01
-3.471419095148852129e+23 7.689978889612944631e+22 -4.066666666666673424e-01 3.000000000000000000e+02 -3.431237875127860834e+23 -3.431237875127860834e+23 7.066666666666666652e-01
-3.431237875127860834e+23 3.689680854647196090e+21 -4.100000000000006972e-01 3.000000000000000000e+02 -3.231284238415353925e+23 -3.231284238415353925e+23 9.266666666666666385e-01
-3.231284238415353925e+23 9.286631777395200229e+21 -4.133333333333340520e-01 3.000000000000000000e+02 -3.148882383577242078e+23 -3.148882383577242078e+23 2.133333333333333470e-01
-3.148882383577242078e+23 3.884460689225226912e+21 -4.166666666666674068e-01 3.000000000000000000e+02 -2.479465834182579082e+23 -2.479465834182579082e+23 1.379999999999999893e+00
-2.479465834182579082e+23 2.494768182849686838e+22 -4.200000000000007616e-01 3.000000000000000000e+02 -2.400307777892499986e+23 -2.400307777892499986e+23 1.153333333333333321e+00
-2.400307777892499986e+23 3.731546559217424400e+21 -4.233333333333341164e-01 3.000000000000000000e+02 -2.286882593619296786e+23 -2.286882593619296786e+23 2.000000000000000111e-01
-2.286882593619296786e+23 7.566011457841573921e+21 -4.266666666666674712e-01 3.000000000000000000e+02 -2.225188435563657225e+23 -2.225188435563657225e+23 1.766666666666666607e+00
-2.225188435563657225e+23 8.633711411580548153e+21 -4.300000000000008260e-01 3.000000000000000000e+02 -1.676793917570961019e+23 -1.676793917570961019e+23 1.146666666666666723e+00
-1.676793917570961019e+23 2.659605517868165444e+22 -4.333333333333341808e-01 3.000000000000000000e+02 -1.009367461132358302e+23 -1.009367461132358302e+23 7.399999999999999911e-01
-1.009367461132358302e+23 4.388995901260325873e+22 -4.366666666666675356e-01 3.000000000000000000e+02 -6.614385699307664494e+22 -6.614385699307664494e+22 1.686666666666666758e+00
-6.614385699307664494e+22 2.928359387017955089e+22 -4.400000000000008904e-01 3.000000000000000000e+02 -6.108083986881261129e+22 -6.108083986881261129e+22 6.466666666666666119e-01
-6.108083986881261129e+22 2.496101104195467215e+21 -4.433333333333342452e-01 3.000000000000000000e+02 -5.597489975058465240e+22 -5.597489975058465240e+22 5.733333333333333615e-01
-5.597489975058465240e+22 3.885683859312680632e+21 -4.466666666666676000e-01 3.000000000000000000e+02 -4.804755792290224957e+22 -4.804755792290224957e+22 1.173333333333333339e+00
-4.804755792290224957e+22 6.331045290501296095e+21 -4.500000000000009548e-01 3.000000000000000000e+02 -4.782604281703964659e+22 -4.782604281703964659e+22 8.866666666666667140e-01
-4.782604281703964659e+22 3.029251792941771391e+21 -4.533333333333343096e-01 3.000000000000000000e+02 -4.336790816447554965e+22 -4.336790816447554965e+22 7.133333333333333748e-01
-4.336790816447554965e+22 1.930428931306110058e+21 -4.566666666666676644e-01 3.000000000000000000e+02 -3.580624350915951224e+22 -3.580624350915951224e+22 1.686666666666666758e+00
-3.580624350915951224e+22 3.564602903221738406e+21 -4.600000000000010192e-01 3.000000000000000000e+02 -2.620641305052908303e+22 -2.620641305052908303e+22 7.866666666666666252e-01
-2.620641305052908303e+22 3.577645579661770490e+21 -4.633333333333343740e-01 3.000000000000000000e+02 -2.224422782964945702e+22 -2.224422782964945702e+22 1.446666666666666767e+00
-2.224422782964945702e+22 3.814896234813096198e+21 -4.666666666666677288e-01 3.000000000000000000e+02 -2.006177520961510284e+22 -2.006177520961510284e+22 1.733333333333333393e+00
-2.006177520961510284e+22 1.794017286067861848e+21 -4.700000000000010836e-01 3.000000000000000000e+02 -1.446685727950369089e+22 -1.446685727950369089e+22 9.200000000000000400e-01
-1.446685727950369089e+22 3.729013737917820961e+21 -4.733333333333344384e-01 3.000000000000000000e+02 -1.294697140274050420e+22 -1.294697140274050420e+22 1.546666666666666634e+00
-1.294697140274050420e+22 2.863982318112788709e+21 -4.766666666666677932e-01 3.000000000000000000e+02 -1.104535511114565917e+22 -1.104535511114565917e+22 1.586666666666666670e+00
-1.104535511114565917e+22 3.365770582211511190e+21 -4.800000000000011480e-01 3.000000000000000000e+02 -1.045198310583430231e+22 -1.045198310583430231e+22 8.266666666666666607e-01
-1.045198310583430231e+22 1.073064741637613552e+21 -4.833333333333345028e-01 3.000000000000000000e+02 -8.474705300145802576e+21 -8.474705300145802576e+21 1.506666666666666599e+00
-8.474705300145802576e+21 1.796007724729263456e+21 -4.866666666666678576e-01 3.000000000000000000e+02 -4.946002525990731907e+21 -4.946002525990731907e+21 1.306666666666666643e+00
-4.946002525990731907e+21 2.943563696486339838e+21 -4.900000000000012124e-01 3.000000000000000000e+02 -3.431455959010813936e+21 -3.431455959010813936e+21 2.666666666666666838e-02
-3.431455959010813936e+21 2.371509343409103438e+21 -4.933333333333345672e-01 3.000000000000000000e+02 -3.342313318304890487e+21 -3.342313318304890487e+21 1.100000000000000089e+00
-3.342313318304890487e+21 1.453021839529035170e+21 -4.966666666666679220e-01 3.000000000000000000e+02 -2.949837997386889691e+21 -2.949837997386889691e+21 7.399999999999999911e-01
-2.949837997386889691e+21 5.468326381307013366e+20 -5.000000000000012212e-01 3.000000000000000000e+02 -2.865727103891281543e+21 -2.865727103891281543e+21 1.666666666666666574e-01
-2.865727103891281543e+21 1.552707653592277320e+20 -5.033333333333345205e-01 3.000000000000000000e+02 -2.305758048370415632e+21 -2.305758048370415632e+21 1.979999999999999982e+00
-2.305758048370415632e+21 3.504861358581888451e+20 -5.066666666666678198e-01 3.000000000000000000e+02 -2.017430416841665675e+21 -2.017430416841665675e+21 1.100000000000000089e+00
-2.017430416841665675e+21 1.248495267584482836e+20 -5.100000000000011191e-01 3.000000000000000000e+02 -1.693335470046952292e+21 -1.693335470046952292e+21 8.066666666666666430e-01
-1.693335470046952292e+21 1.403372285811939082e+20 -5.133333333333344184e-01 3.000000000000000000e+02 -1.609122535678295671e+21 -1.609122535678295671e+21 1.000000000000000000e+00
-1.609122535678295671e+21 3.138430763884075418e+19 -5.166666666666677177e-01 3.000000000000000000e+02 -1.487088994905228313e+21 -1.487088994905228313e+21 7.133333333333333748e-01
-1.487088994905228313e+21 5.284207321162020454e+19 -5.200000000000010170e-01 3.000000000000000000e+02 -1.268154891348845265e+21 -1.268154891348845265e+21 5.866666666666666696e-01
-1.268154891348845265e+21 1.240374397234254807e+20 -5.233333333333343163e-01 3.000000000000000000e+02 -1.146749258709173010e+21 -1.146749258709173010e+21 1.053333333333333233e+00
