Tcmb TR Beta
2.727694135120350527e+00 1.136191875048945255e+00 -2.628583931731967027e+00
2.725948282123155764e+00 1.045609778119826139e+00 -2.702271687445715109e+00
2.739644896291755227e+00 1.178422368556135913e+00 -2.668072192935969866e+00
2.724861496444168640e+00 1.355582583314504763e+00 -2.547606570338954768e+00
2.730370299140594703e+00 9.674427023257985425e-01 -2.685826789733704700e+00
2.729253101592536535e+00 1.129860821916838898e+00 -2.635476432136123037e+00
2.722520005271522159e+00 1.370849364723587316e+00 -2.573905773907200434e+00
2.733338435184324400e+00 9.762028762141015115e-01 -2.583855490288852863e+00
2.723986289460173182e+00 1.296281136952823543e+00 -2.511526345889837586e+00
2.727343674344260283e+00 1.331701997786913561e+00 -2.592608100311032615e+00
2.732020848417100911e+00 1.406476839075245566e+00 -2.564514530888596155e+00
2.729253101592536535e+00 1.129860821916838898e+00 -2.635476432136123037e+00
2.725327326954630092e+00 1.166672065577410322e+00 -2.597113340107075175e+00
2.724056648995212715e+00 1.111577378974635710e+00 -2.584667319727965484e+00
2.723294661312404941e+00 1.300687857932099512e+00 -2.568252165776366169e+00
2.730394015978304001e+00 1.060105304440433160e+00 -2.715328990289096467e+00
2.720947896269995780e+00 1.390543317050032091e+00 -2.541770962823632019e+00
2.726547183765370974e+00 1.249268136739115187e+00 -2.619103176979271197e+00
2.726057858592798144e+00 1.363097858256933748e+00 -2.609210129736350581e+00
2.726166337765260295e+00 1.261002249069942849e+00 -2.633353759638379366e+00
2.737611204214600136e+00 1.075886131810343871e+00 -2.610466638626705027e+00
2.738045216136754778e+00 9.894856919249500615e-01 -2.644841561122552420e+00
2.725276712104232502e+00 1.209265876890115887e+00 -2.564439440561590011e+00
2.724295295708362818e+00 1.371896160404773912e+00 -2.536690961345291484e+00
2.729195728345450433e+00 1.369695953231818697e+00 -2.523876527240030754e+00
2.728863565089794108e+00 1.185802416470335796e+00 -2.632978382681546492e+00
2.724411346609028506e+00 1.211727827793201095e+00 -2.633488973911908282e+00
2.736779187263089330e+00 1.074642745106354269e+00 -2.610322419397506977e+00
2.731450483978037358e+00 1.069496944633743452e+00 -2.564081017242525462e+00
2.727175055888998223e+00 1.297652848079642096e+00 -2.604828814407147419e+00
2.731628417581589474e+00 1.116454227279590983e+00 -2.641738841719407205e+00
2.738635309497174930e+00 9.047928118226236105e-01 -2.728006339020234705e+00
2.724087797044442816e+00 1.416658486830445263e+00 -2.548878317468340704e+00
2.731763109788234445e+00 1.146199396146509786e+00 -2.616938110688735719e+00
2.728267115661630715e+00 1.260245112311701554e+00 -2.603873858695775922e+00
2.725553597935292949e+00 1.492104400887480420e+00 -2.538401788690900496e+00
2.732935379666068698e+00 1.062996650111339481e+00 -2.621867347321074071e+00
2.731663100597221394e+00 9.647563989663152650e-01 -2.706319879271723572e+00
2.720545188203962628e+00 1.546621453577857519e+00 -2.606142684460647452e+00
2.727027822363438769e+00 1.297236724707766964e+00 -2.641460802341820013e+00
2.728330671637509308e+00 1.240489619949905142e+00 -2.621074119602728736e+00
2.732254339344859950e+00 9.532146415188592625e-01 -2.676521073533707273e+00
2.726007280178648351e+00 1.236902851184341179e+00 -2.613755354107328621e+00
2.725774986748918494e+00 1.237503535667164201e+00 -2.634059846975715935e+00
