01:43:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=data/, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=1000..65536
01:43:24 [ultranest] [INFO] Sampling 300 live points from prior ...
01:43:25 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
01:43:25 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
01:43:25 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 300.0), (inf, 300.0)]
01:43:28 [ultranest] [DEBUG] iteration=660, ncalls=2000, regioncalls=3000, ndraw=1000, logz=-797406.93, remainder_fraction=100.0000%, Lmin=-789365.24, Lmax=-62.19
01:43:28 [ultranest] [DEBUG] iteration=670, ncalls=2000, regioncalls=3000, ndraw=1000, logz=-747020.90, remainder_fraction=100.0000%, Lmin=-737679.21, Lmax=-62.19
01:43:28 [ultranest] [DEBUG] iteration=690, ncalls=2000, regioncalls=3000, ndraw=1000, logz=-606499.18, remainder_fraction=100.0000%, Lmin=-602410.77, Lmax=-62.19
01:43:28 [ultranest] [DEBUG] iteration=720, ncalls=2000, regioncalls=3000, ndraw=1000, logz=-426599.32, remainder_fraction=100.0000%, Lmin=-424262.56, Lmax=-11.53
01:43:28 [ultranest] [DEBUG] iteration=737, ncalls=2169, regioncalls=4000, ndraw=1000, logz=-385263.71, remainder_fraction=100.0000%, Lmin=-383793.99, Lmax=-11.53
01:43:28 [ultranest] [DEBUG] iteration=750, ncalls=2169, regioncalls=4000, ndraw=1000, logz=-346160.40, remainder_fraction=100.0000%, Lmin=-345257.49, Lmax=-11.53
01:43:28 [ultranest] [DEBUG] iteration=780, ncalls=2169, regioncalls=4000, ndraw=1000, logz=-270590.88, remainder_fraction=100.0000%, Lmin=-267553.94, Lmax=-11.53
01:43:28 [ultranest] [DEBUG] iteration=804, ncalls=2169, regioncalls=4000, ndraw=1000, logz=-231783.70, remainder_fraction=100.0000%, Lmin=-231564.07, Lmax=-11.53
01:43:28 [ultranest] [DEBUG] iteration=810, ncalls=2169, regioncalls=4000, ndraw=1000, logz=-228806.43, remainder_fraction=100.0000%, Lmin=-228129.16, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=827, ncalls=2292, regioncalls=5000, ndraw=1000, logz=-208059.19, remainder_fraction=100.0000%, Lmin=-207744.43, Lmax=-11.53
