     z           Phi            Tk          Phi_mini       zpp[0]
4.691232   3.148378E-02   5.412660E+03   2.156048E-03   4.692030
4.579639   3.567315E-02   5.901994E+03   2.275242E-03   4.580414
4.470234   4.036546E-02   6.420056E+03   2.399167E-03   4.470987
4.362975   4.560691E-02   6.963383E+03   2.532202E-03   4.363706
4.257819   5.146753E-02   7.529009E+03   2.672979E-03   4.258529
4.154725   5.799139E-02   8.117014E+03   2.819916E-03   4.155414
4.053651   6.525844E-02   8.727808E+03   2.972173E-03   4.054321
3.954560   7.332894E-02   9.361688E+03   3.130599E-03   3.955211
3.857412   8.228603E-02   1.001879E+04   3.295203E-03   3.858044
3.762169   9.219813E-02   1.069912E+04   3.473749E-03   3.762782
3.668793   1.031637E-01   1.140262E+04   3.660428E-03   3.669389
3.577248   1.152624E-01   1.212912E+04   3.854782E-03   3.577827
3.487498   1.285891E-01   1.287826E+04   4.057017E-03   3.488060
3.399508   1.432319E-01   1.364939E+04   4.267644E-03   3.400054
3.313243   1.593197E-01   1.444163E+04   4.486456E-03   3.313774
3.228670   1.769504E-01   1.525380E+04   4.719308E-03   3.229186
3.145755   1.962271E-01   1.608440E+04   4.967442E-03   3.146256
3.064466   2.172808E-01   1.693128E+04   5.225337E-03   3.064953
2.984771   2.402637E-01   1.779108E+04   5.493544E-03   2.985244
2.906638   2.652222E-01   1.865806E+04   5.773619E-03   2.907098
2.830037   2.923212E-01   1.952424E+04   6.065592E-03   2.830484
2.754939   3.217423E-01   2.038371E+04   6.369707E-03   2.755373
2.681312   3.535446E-01   2.123364E+04   6.687732E-03   2.681734
2.609130   3.878947E-01   2.207210E+04   7.031017E-03   2.609540
2.538363   4.250051E-01   2.289723E+04   7.388644E-03   2.538761
2.468983   4.649502E-01   2.370711E+04   7.761119E-03   2.469370
2.400964   5.078931E-01   2.449980E+04   8.149029E-03   2.401340
2.334278   5.540775E-01   2.527356E+04   8.553613E-03   2.334645
2.268900   6.034718E-01   2.602648E+04   8.975740E-03   2.269257
2.204804   6.563649E-01   2.675674E+04   9.416069E-03   2.205151
2.141965   7.128829E-01   2.746258E+04   9.875489E-03   2.142302
2.080358   7.731850E-01   2.814225E+04   1.035454E-02   2.080686
2.019959   8.373669E-01   2.879415E+04   1.086677E-02   2.020278
1.960744   9.057305E-01   2.941673E+04   1.140223E-02   1.961054
1.902690   9.783342E-01   3.000854E+04   1.195879E-02   1.902992
1.845775   1.055398E+00   3.056836E+04   1.253994E-02   1.846069
1.789975   1.136941E+00   3.109506E+04   1.314535E-02   1.790261
1.735270   1.223361E+00   3.158758E+04   1.377608E-02   1.735548
1.681637   1.314561E+00   3.204505E+04   1.443313E-02   1.681908
1.629056   1.410825E+00   3.246680E+04   1.511788E-02   1.629320
1.577506   1.512435E+00   3.285228E+04   1.583093E-02   1.577763
1.526967   1.619433E+00   3.320129E+04   1.657317E-02   1.527217
1.477419   1.731870E+00   3.351371E+04   1.734407E-02   1.477663
1.428842   1.850458E+00   3.378971E+04   1.814745E-02   1.429080
1.381217   1.974868E+00   3.402950E+04   1.898408E-02   1.381449
1.334527   2.105319E+00   3.423358E+04   1.986660E-02   1.334753
1.288752   2.242092E+00   3.440255E+04   2.078319E-02   1.288972
1.243875   2.384996E+00   3.453715E+04   2.173554E-02   1.244089
1.199877   2.534956E+00   3.463827E+04   2.272657E-02   1.200087
1.156742   2.691897E+00   3.470683E+04   2.375577E-02   1.156947
1.114453   2.856029E+00   3.474392E+04   2.482467E-02   1.114653
1.072993   3.027097E+00   3.475063E+04   2.593324E-02   1.073188
1.032346   3.206073E+00   3.472816E+04   2.708519E-02   1.032537
0.992497   3.392571E+00   3.467768E+04   2.828070E-02   0.992683
0.953428   3.587698E+00   3.460044E+04   2.952193E-02   0.953610
0.915126   3.790804E+00   3.449774E+04   3.080798E-02   0.915303
0.877574   4.002608E+00   3.437083E+04   3.214227E-02   0.877748
0.840759   4.222836E+00   3.422096E+04   3.352610E-02   0.840929
0.804666   4.452309E+00   3.404935E+04   3.496165E-02   0.804832
0.769280   4.691590E+00   3.385719E+04   3.645061E-02   0.769443
0.734588   4.940084E+00   3.364567E+04   3.799360E-02   0.734748
0.700577   5.199213E+00   3.341602E+04   3.959316E-02   0.700733
0.667232   5.468908E+00   3.316934E+04   4.125136E-02   0.667385
0.634542   5.749804E+00   3.290675E+04   4.296956E-02   0.634692
0.602492   6.041991E+00   3.262931E+04   4.475000E-02   0.602639
0.571070   6.345535E+00   3.233802E+04   4.660799E-02   0.571215
0.540265   6.661409E+00   3.203405E+04   4.853310E-02   0.540407
0.510064   6.990538E+00   3.171849E+04   5.052840E-02   0.510203
0.480455   7.332083E+00   3.139226E+04   5.259527E-02   0.480591
0.451426   7.687317E+00   3.105649E+04   5.473644E-02   0.451561
0.422967   8.056650E+00   3.071212E+04   5.695495E-02   0.423099
0.395066   8.441931E+00   3.036009E+04   5.925272E-02   0.395196
0.367711   8.840731E+00   3.000132E+04   6.162968E-02   0.367839
0.340894   9.256279E+00   2.963665E+04   6.409298E-02   0.341019
0.314602   9.688271E+00   2.926697E+04   6.664441E-02   0.314726
0.288825   1.013920E+01   2.889313E+04   6.928817E-02   0.288947
0.263554   1.060666E+01   2.851587E+04   7.202370E-02   0.263674
0.238779   1.109317E+01   2.813591E+04   7.485605E-02   0.238897
0.214489   1.159989E+01   2.775392E+04   7.778934E-02   0.214606
0.190675   1.212578E+01   2.737063E+04   8.082659E-02   0.190791
0.167329   1.267320E+01   2.698654E+04   8.397256E-02   0.167443
0.144440   1.324344E+01   2.660232E+04   8.723127E-02   0.144553
0.122000   1.383619E+01   2.621850E+04   9.060537E-02   0.122111
